viento,v_viento,p_ola,m_ola,presion,temperatura,clase
0.418832,0.513619,0.32872,0.181477,0.649057,0.920792,1
0.323576,0.252918,0.20346,0.181477,0.703145,0.584158,0
0.290721,0.2607,0.20346,0.181477,0.708176,0.376238,0
0.289421,0.346304,0.258131,0.181477,0.781132,0.584158,0
0.522621,0.509728,0.111419,0.181477,0.828931,0.029703,2
0.342024,0.389105,0.750865,0.182728,0.640252,0.742574,1
0.383562,0.322957,0.160554,0.18398,0.730818,0.386139,1
0.368536,0.361868,0.229066,0.18398,0.768553,0.811881,1
0.263526,0.2607,0.142561,0.18398,0.781132,0.881188,0
0.292445,0.264591,0.258131,0.18398,0.832704,0.821782,0
0.426124,0.299611,0.229066,0.185232,0.690566,0.811881,1
0.294184,0.299611,0.229066,0.185232,0.701887,0.554455,0
0.241096,0.22179,0.635294,0.185232,0.704403,0.950495,0
0.370622,0.280156,0.290657,0.185232,0.730818,0.524752,0
0.165918,0.108949,0.425606,0.185232,0.743396,0.70297,0
0.257289,0.194553,0.181315,0.185232,0.751786,0.534653,0
0.464246,0.416342,0.258131,0.185232,0.788679,0.841584,1
0.022096,0.116732,0.160554,0.185232,0.788679,0.910891,0
0.283642,0.307393,0.258131,0.185232,0.797484,0.831683,0
0.29247,0.284047,0.258131,0.185232,0.822642,0.613861,0
0.330929,0.346304,0.32872,0.185232,0.837736,0.277228,1
0.444162,0.420233,0.425606,0.186483,0.680503,0.762376,1
0.423625,0.404669,0.111419,0.186483,0.693082,0.80198,1
0.391278,0.486381,0.181315,0.186483,0.713208,0.821782,1
0.346157,0.385214,0.20346,0.186483,0.781132,0.831683,1
0.287499,0.256809,0.290657,0.186483,0.822642,0.831683,0
0.316499,0.381323,0.258131,0.186483,0.866667,0.821782,1
0.270304,0.451362,0.181315,0.187735,0.61761,0.80198,1
0.196854,0.268482,0.258131,0.187735,0.720755,0.841584,0
0.28063,0.354086,0.258131,0.187735,0.72327,0.574257,0
0.484194,0.377432,0.181315,0.187735,0.753459,0.792079,1
0.251047,0.287938,0.689273,0.187735,0.768553,0.564356,0
0.433809,0.342412,0.229066,0.188986,0.644025,0.841584,0
0.401978,0.389105,0.20346,0.190238,0.750943,0.831683,1
0.518048,0.44358,0.160554,0.191489,0.515723,0.524752,2
0.101428,0.229572,0.37301,0.191489,0.633962,0.762376,0
0.355972,0.330739,0.20346,0.191489,0.756943,0.356436,0
0.317316,0.284047,0.32872,0.191489,0.793711,0.544554,1
0.343062,0.299611,0.229066,0.191489,0.827673,0.80198,0
0.51553,0.315175,0.160554,0.192741,0.486528,0.108911,2
0.368456,0.33463,0.20346,0.192741,0.805031,0.841584,1
0.179208,0.22179,0.544637,0.193992,0.68805,0.306931,0
0.303124,0.342412,0.229066,0.193992,0.746264,0.386139,1
0.345279,0.361868,0.425606,0.193992,0.896855,0.861386,0
0.499399,0.474708,0.20346,0.195244,0.577358,0.841584,2
0.308926,0.22179,0.32872,0.195244,0.67044,0.70297,0
0.295689,0.29572,0.290657,0.195244,0.701887,0.70297,0
0.298154,0.381323,0.258131,0.195244,0.718239,0.574257,1
0.220638,0.245136,0.229066,0.195244,0.719497,0.811881,0
0.271722,0.354086,0.20346,0.195244,0.776428,0.386139,0
0.3095,0.291829,0.160554,0.195244,0.90566,0.811881,0
0.383871,0.431907,0.20346,0.196496,0.640252,0.920792,0
0.466688,0.389105,0.229066,0.196496,0.724025,0.128713,1
0.259375,0.299611,0.160554,0.196496,0.730818,0.891089,0
0.261077,0.2607,0.160554,0.196496,0.737107,0.534653,0
0.284371,0.178988,0.229066,0.196496,0.800403,0.49505,0
0.336456,0.315175,0.142561,0.196496,0.90566,0.673267,0
0.579138,0.536965,0.181315,0.197747,0.642767,0.118812,2
0.340656,0.381323,0.229066,0.197747,0.660377,0.841584,1
0.134887,0.171206,0.258131,0.197747,0.812579,0.960396,0
0.298155,0.272374,0.229066,0.197747,0.849057,0.910891,0
0.231774,0.245136,0.32872,0.197747,0.912302,0.069307,0
0.423556,0.459144,0.160554,0.198999,0.568553,0.643564,1
0.26866,0.245136,0.229066,0.198999,0.742138,0.693069,0
0.288397,0.268482,0.903806,0.198999,0.767296,0.574257,0
0.22464,0.136187,0.142561,0.198999,0.781245,0.148515,0
0.358999,0.36965,0.125952,0.198999,0.791195,0.80198,1
0.475989,0.365759,0.181315,0.198999,0.856604,0.871287,1
0.202268,0.389105,0.181315,0.20025,0.559748,0.118812,0
0.361899,0.400778,0.20346,0.20025,0.703145,0.356436,1
0.304074,0.307393,0.425606,0.20025,0.705962,0.227723,0
0.325037,0.29572,0.229066,0.20025,0.728302,0.435644,0
0.260285,0.338521,0.258131,0.20025,0.739623,0.831683,0
0.488838,0.420233,0.125952,0.20025,0.750943,0.772277,1
0.377324,0.350195,0.258131,0.20025,0.8,0.811881,1
0.313302,0.381323,0.181315,0.20025,0.883019,0.851485,1
0.34083,0.350195,0.229066,0.201502,0.680164,0.217822,1
0.331287,0.330739,0.258131,0.201502,0.730818,0.633663,1
0.253475,0.171206,0.32872,0.201502,0.737107,0.742574,0
0.344871,0.268482,0.258131,0.201502,0.764629,0.405941,0
0.32733,0.272374,0.290657,0.201502,0.830189,0.643564,0
0.260936,0.350195,0.587543,0.201502,0.930818,0.079208,0
0.5029,0.490272,0.258131,0.202753,0.527044,0.930693,1
0.427203,0.455253,0.181315,0.202753,0.660377,0.871287,1
0.545312,0.51751,0.229066,0.202753,0.699371,0.60396,2
0.132106,0.105058,0.20346,0.202753,0.749686,0.564356,0
0.495573,0.350195,0.258131,0.202753,0.794969,0.762376,1
0.420389,0.396887,0.587543,0.204005,0.606289,0.485149,0
0.423117,0.350195,0.229066,0.204005,0.718239,0.633663,1
0.523957,0.470817,0.258131,0.205257,0.565296,0.069307,1
0.288935,0.315175,0.229066,0.205257,0.686792,0.534653,0
0.091967,0.163424,0.635294,0.205257,0.810063,0.920792,0
0.188351,0.245136,0.258131,0.205257,0.953459,0.069307,0
0.294586,0.412451,0.160554,0.206508,0.484277,0.554455,0
0.524978,0.525292,0.160554,0.206508,0.597484,0.742574,1
0.390955,0.420233,0.20346,0.206508,0.667925,0.465347,1
0.352247,0.307393,0.258131,0.206508,0.720755,0.138614,1
